site,checked,proj_good,proj_notes,site_name,Bucket ,n_tiles_512,region,date,year,confidence,img_quality,delin_method,sensor,resolution_cm,tide_m,notes,label_qc_notes,seb_notes,include_cv,train_difficulty,
arakun_u0411,yes,Yes,,Arakun,,280,South,2018-05-28,2018,High,Good,OBIA,DJI Phantom Pro 4,2.4,0.6,na,great imagery,NA,Yes,Low,
auseth_u0413,yes,Yes,,Auseth,,1091,South,2018-05-29,2018,High,Excellent,OBIA,DJI Phantom Pro 4,2.4,0.5,"Site conditions (continuous, dense eelgrass) and environmental conditions on the date of imagery collection resulted in very confident delineation of eelgrass at this site.",great imagery,NA,Yes,Low,
bag_harbour_u0490,yes,Yes,,Bag Harbour,,3011,North,2018-07-14,2018,High,Excellent,OBIA,DJI Phantom Pro 4,2.7,-0.2,na,perfect imagery,NA,Yes,Low,
balcolm_inlet_u0491,yes,Yes,,Balcolm Inlet,,770,North,2018-07-15,2018,High,Good,OBIA,DJI Phantom Pro 4,4.5,0.9,na,cloudy overcast imagery but eelgrass discernible,Cloudy,Yes,Medium,
beljay_bay_u0479,Yes,Yes,,Beljay Bay,,1402,North,2018-07-11,2018,High,Excellent,OBIA,DJI Phantom Pro 4,5.2,0.4,na,excellent imagery and delineation,NA,Yes,Low,
bennett_bay,Yes,Yes,,Bennett Bay,,391,South,2018-06-15,2018,High,Medium,OBIA,DJI Phantom Pro 4,5.2,0.4,"The imagery for Bennett Bay shows some regions obscured by glint but overall the full extent of the bed (including the subtidal edge) was visible in the imagery. The subtidal edge of the bed, though very sparse, was visible in the imagery indicating good water quality on the day of the aerial survey.",Challenging but discernible scene for intertidal/shallow subtidal but imagery impacted by clouds,"Cloudy, glint",Yes,High,
calmus_u0421,Yes,Yes,,Calmus,,1320,South,2018-05-31,2018,High,Excellent,OBIA,DJI Phantom Pro 4,2.6,0.5,The imagery did not capture a portion intertidal eelgrass meadow at the south end of the site.,great imagery and subtidal edge,NA,Yes,Low,
choked_pass_u1051,Yes,No,File mismatch?,Choked Pass,,3627,Central,2023-08-02,2023,High,Medium,OBIA,DJI Phantom Pro 4,5.5,0.9,"Overall image quality is mdedium-high, no wave action, calm sea state but not very sunny. Classification confidence is high, overall. Subtidal edge was visible and confirmed with towed underwater video.
",NA,"Towed video, not sunny",Yes,Low,
choked_pass_u1282,Yes,Yes,,Choked Pass,,3213,Central,2024-07-09,2024,High,Good,OBIA,Mavic 3E,5.6000000000000000,0.6,"Overall imagery quality is high, calm sea state, good sun, good water clarity. Classification confidence is high.",NA,Good all round,Yes,Low,
goose_grass_bay_u0200,Yes,No,File mismatch?,Goose Grass Bay,,382,Central,2017-06-26,2017,High,Good,OBIA,DJI Phantom Pro 3,5,0.4,na,NA,No info,Yes,Low,
goose_sw_u0921,Yes,Yes,,Goose SW,,2139,Central,2021-07-26,2021,High,Excellent,OBIA,DJI Phantom Pro 4,4,0.5,"Overall image quality is high, low wave action, calm sea state and sunny conditions. Classification confidence is high for most areas. Upper intertidal is dominated by sparse eelgrass. This area has lower confidence due to uncertainty in mapping low density distribution of eelgrass.",NA,Low density,Yes,Medium,
goose_sw_u1023,Yes,Yes,,Goose SW,,2442,Central,2022-07-17,2022,High,Good,OBIA,DJI Phantom Pro 4,3.1,0.4,Overall image quality is medium-high. Overcast conditions and higher turbidity obscured the deep edge which was delineated based on concurrently collected towed video data. Classification confidence for the intertidal extent is high and medium for the subtidal extent.,NA,"Turbidity, overcast, validated with video",Yes,High,
goose_sw_u1174,Yes,Yes,,Goose SW,,1645,Central,2023-08-04,2023,High,Excellent,OBIA,DJI Phantom Pro 4,4.2,0.3,"Overall image quality is high, no wave action, calm sea state. Classification confidence is high. Subtidal edge was visible and confirmed with towed underwater video.
",NA,Clear,Yes,Low,
grice_bay_u0414,Yes,Yes,,Grice Bay,,19293,South,2018-05-29,2018,High,Good,OBIA,DJI Phantom Pro 4,3.9,0.4,"Overall, the effort to delineate eelgrass at this site was high due to the size of the site, but good image quality and conditions on the flight days allowed for confident delineation of both upper and subtidal extents of eelgrass at the site.",very good imagery - interesting to see how this would fare as a test dataset since there are large sparse but clearly discernible parts of the bed. I think a segmentation algorithm would pick out more details than what was originally delineated,"Large sparse, delineation maybe too coarse",Yes,High,
heater_harbour_u0088,Yes,Yes,,Heater Harbour,,338,North,2016-07-04,2016,High,Good,OBIA,DJI Phantom Pro 3,4.2,0.5,na,"intertidal delineation and coverage is good, low light conditions","Dark, High confidence, low light",Yes,Medium,
island_bay_u0486,Yes,Yes,,Island Bay,,1921,North,2018-07-13,2018,High,Good,OBIA,DJI Phantom Pro 4,4.6,0.3,na,"great imagery and classification, overcast",NA,Yes,Low,
jaques_jarvis_u0213,Yes,No,Proj?,Jaques Jarvis,,1068,South,2017-07-10,2017,High,Good,OBIA,DJI Phantom Pro 3,4.2,0.7,na,good eelgrass clarity on a cloudy day,NA,Yes,Low,
kendrick_point_u0255,Yes,Yes,,Kendrick Point,,2186,North,2017-07-24,2017,High,Excellent,OBIA,DJI Phantom Pro 3,4.3,0.4,na,very good imagery and delineation but full image area not mapped,NA,Yes,Low,
kendrick_point_u0495,Yes,Yes,,Kendrick Point,,2125,North,2018-07-15,2018,High,Excellent,OBIA,DJI Phantom Pro 4,4.3,0.3,na,excellent imagery but there was some bleaching - retain for qualitative assessment,Bleaching,Yes,Medium,
kendrick_point_west_u0494,Yes,Yes,,Kendrick Point West,,397,North,2018-07-15,2018,High,Excellent,OBIA,DJI Phantom Pro 4,4.3,0.5,na,excellent imagery and delienation,NA,Yes,Low,
koeye_u0388,,Yes,,Koeye,,2276,Central,2018-05-19,2018,High,Good,Manual and OBIA,DJI Phantom Pro 4,2.4,1,"Glint on the surface has led for this file to have a lot of hand editing, but image is clear and accurate",NA,"Water glint, accurate delineation",Yes,High,
koeye_u0438,,Yes,,Koeye,,2277,Central,2018-06-17,2018,High,Excellent,Manual and OBIA,DJI Phantom Pro 4,2.4,0.3,na,NA,NA,Yes,Low,
koeye_u0526,,Yes,,Koeye,,1791,Central,2018-08-12,2018,High,Medium,Manual and OBIA,DJI Phantom Pro 4,2.7,1.4,"small parts of the image are hard to see, but the majority is very clear",NA,Some areas poor image quality,Yes,Medium,
koeye_u0715,,Yes,,Koeye,,2799,Central,2019-08-04,2019,High,Good,OBIA,DJI Phantom Pro 4,2.4,0.4,Part of the monitoring area was not mapped due to fog.,NA,NA,Yes,Medium,
koeye_u0922,,Yes,,Koeye,,2584,Central,2021-07-27,2021,High,Excellent,OBIA,DJI Phantom Pro 4,2.5,0.5,"High confidence in classification - very good image quality (calm, no glint, low tide, water clarity good enough to capture subtidal edge).",NA,Very clear in deep,Yes,Low,
koeye_u1036,,Yes,,Koeye,,2395,Central,2022-07-29,2022,High,Excellent,OBIA,DJI Phantom Pro 4,2.4,0.7,"Overall very good image quality, water clarity and light. Classification confidence is high.",NA,Everything good,Yes,Low,
koeye_u1168,,Yes,,Koeye,,2106,Central,2023-08-03,2023,High,Good,OBIA,DJI Phantom Pro 4,2.5,0.4,"Overall image quality is high, no wave action, calm sea state. Classification confidence is high. Subtidal edge was visible.
",NA,Clear,Yes,Low,
koeye_u1314,Yes,Yes,,Koeye,,1932,Central,2024-07-25,2024,High,Medium,OBIA,Mavic 3E,2.9000000000000000,0.6,"While sunny and low tide, water was very high in tannins and made discerning the subtidal edge challenging in some parts of the imagery.",NA,High in tannins,Yes,High,
louscoone_head_u0252,,Yes,,Louscoone Head,,1971,North,2017-07-23,2017,High,Good,OBIA,DJI Phantom Pro 3,4.3,0.3,na,good imagery and classification - some shadows,Shadows,Yes,Medium,
louscoone_head_u0496,,Yes,,Louscoone Head,,2252,North,2018-07-16,2018,High,Excellent,OBIA,DJI Phantom Pro 4,4.1000000000000000,0.3,na,great imagery and classification,NA,Yes,Low,
louscoone_u0091,,Yes,,Louscoone,,724,North,2016-07-07,2016,High,Good,OBIA,DJI Phantom Pro 3,4.2,0.3,na,overcast conditions but data good,Overcast,Yes,Medium,
louscoone_u0253,Yes,No,File mismatch?,Louscoone,,868,North,2017-07-23,2017,High,Good,OBIA,DJI Phantom Pro 3,4.2,0.1,na,cloud reflections and higher tide but good,"Cloud selections, underwater",Yes,Medium,
